ESTIMID,Analysts,Contributor,EMASKCD,AMASKCD
merrintl,MUNEEBA KAYANI,BofA Global Research,124981,1534
merrintl,MIKEL ZABALA,BofA Global Research,1534,193320
dongwon,KAUTILYA JAIN,BofA Global Research,3585,139933
merrintl,DAVID AMIRA,BofA Global Research,166485,1534
merrintl,JESSIE LO,BofA Global Research,1534,192136
merrintl,NATHAN GEE,BofA Global Research,1534,123085
merrintl,SUSIE LEE,BofA Global Research,132253,1534
merrintl,DAVID BARKER,BofA Global Research,1534,191400
merrintl,PETER A. BISZTYGA,BofA Global Research,84039,1534
merrintl,AMISH SHAH,BofA Global Research,115641,1534
jpmorgan,STEPHANIE YEE,JPMorgan,1243,183351
jpmorgan,ADRIAN E. HUERTA,JPMorgan,1243,83985
indus,YOUYOU YAN,JPMorgan,38822,149478
jpmorgan,ULISES ARGOTE,JPMorgan,1243,183409
jpmorgan,DAVID J. ADLINGTON,JPMorgan,1243,83556
jpmorgan,ASHIK MUSADDI,JPMorgan,1243,152025
jpmorgan,JOHN M. ROYALL,JPMorgan,1243,155728
jpmorgan,PO WEI,JPMorgan,1243,121998
rhsfm,LEO WENG,JPMorgan,3566,112393
jpmorgan,JIHYUN CHO,JPMorgan,192500,1243
jeffereg,RICHARD J. JOHNSON,Jefferies,1261,72881
jeffereg,MARK J. LIPACIS,Jefferies,1261,55594
jeffereg,SARAVANA BALA,Jefferies,1261,189252
loopcama,ARYEH GOLD,Jefferies,41518,1717
jeffereg,JOHN COLANTUONI,Jefferies,1261,163913
jeffereg,SUJI JEONG,Jefferies,1261,193222
jeffereg,ROGER SONG,Jefferies,1261,191218
sinolink,BOYA ZHEN,Jefferies,38183,193982
kimeng,JEFFERIES US CONSUMER TEAM,Jefferies,1330,188598
jeffereg,PAUL KRATZ,Jefferies,1261,182671
morgan,ANDY MENG,Morgan Stanley,1595,120556
morgan,JACK YEUNG,Morgan Stanley,1595,122200
woodgund,DANIEL WILKINSON,Morgan Stanley,1750,117986
morgan,VIKRAM PUROHIT,Morgan Stanley,1595,186893
morgan,ALEXANDRA THRUM,Morgan Stanley,1595,186885
morgan,ARTHUR SITBON,Morgan Stanley,1595,192036
capeleur,BENNY C. WONG,Morgan Stanley,415,142827
morgan,KATHERINE W. CARPENTER,Morgan Stanley,1595,191806
morgan,TOMOMI FUJITA,Morgan Stanley,1595,191906
shinyoun,STELLA PARK,Morgan Stanley,158196,6986
